@relation MIGEC2_BASE

@attribute BgMinorMigFreq numeric
@attribute BgMinorReadFreq numeric
@attribute MajorMigFreq numeric
@attribute MinorMigFreq numeric
@attribute MajorReadFreq numeric
@attribute MinorReadFreq numeric
@attribute class {0,1}

@data
-0.413924,-3.345258,-1.982271,-0.60206,-2.157675,-3.71674,1
-0.413924,-3.345258,-1.429429,-0.550907,-1.531091,-3.603701,1
-1.202657,-4.169105,-2.827369,-1.236305,-2.444313,-4.450309,0
-0.586321,-3.608907,-2.827369,-0.71678,-3.089965,-3.76424,0
-0.41098,-3.284106,-1.867628,-0.644203,-1.98738,-3.785642,1
-1.151237,-4.328337,-2.909021,-1.184745,-3.159768,-3.752218,0
-0.570965,-3.592849,-2.909021,-0.704901,-3.969702,-3.868949,0
-0.570118,-3.563981,-2.909021,-0.547293,-2.829823,-3.620748,0
-0.41098,-3.284106,-1.867628,-0.578607,-1.98738,-3.707778,1
-0.41098,-3.284106,-1.909021,-0.504187,-2.001556,-3.044275,1
-0.478434,-3.410363,-2.909021,-0.331529,-4.131553,-3.200078,0
-0.36414,-3.308982,-2.257078,-0.573581,-2.52657,-3.759028,1
-0.36414,-3.308982,-2.859138,-0.215686,-5.25039,-3.095054,0
-0.508973,-3.499661,-2.859138,-0.562473,-5.25039,-3.716082,0
-0.429487,-3.437694,-2.859138,-0.377696,-3.245114,-3.356443,0
-1.154355,-4.427259,-2.859138,-1.39674,-3.099804,-4.742234,0
-0.36414,-3.308982,-2.257078,-0.578105,-2.52657,-3.491142,1
-0.36414,-3.308982,-1.859138,-0.452598,-2.299376,-3.46506,1
-0.32852,-3.3003,-2.778151,-0.571325,-2.372793,-3.797015,1
-1.091645,-3.944328,-2.778151,-0.79138,-3.813406,-4.141229,0
-0.461483,-3.55635,-2.778151,-0.449772,-4.153238,-3.600558,0
-0.32852,-3.3003,-2.778151,-0.49035,-2.372793,-3.7128,1
-0.32852,-3.3003,-1.778151,-0.369911,-1.946085,-3.45671,1
-0.630197,-3.350503,-2.159868,-1.062958,-1.754471,-3.947287,1
-0.630197,-3.350503,-2.159868,-0.91683,-1.754471,-3.77659,1
-0.630197,-3.350503,-1.419505,-0.837649,-1.376312,-3.688454,1
-1.534194,-4.437024,-2.460898,-2.159868,-2.835825,-5.07762,0
-1.534194,-4.437024,-2.460898,-1.983777,-2.651109,-4.901529,0
-0.431263,-3.30133,-1.718383,-0.706149,-1.909486,-3.806176,1
-1.249599,-4.335052,-2.563481,-1.563481,-2.953878,-4.700123,0
-0.431263,-3.30133,-1.718383,-0.743937,-1.909486,-3.74992,1
-0.431263,-3.30133,-1.660391,-0.599693,-2.27948,-3.526451,1
-1.249599,-4.335052,-2.563481,-1.660391,-3.369371,-4.876214,0
-0.393466,-3.286758,-1.950203,-0.656472,-2.251148,-3.784849,1
-0.393466,-3.286758,-1.950203,-0.59802,-2.251148,-3.706511,1
-0.393466,-3.286758,-1.552263,-0.468282,-1.924268,-3.462871,1
-1.193638,-3.74771,-2.728354,-1.366626,-3.082359,-4.397129,0
-0.309203,-3.222526,-1.840106,-0.565948,-2.009386,-3.580361,1
-0.494291,-3.552578,-2.539076,-0.357233,-2.528149,-3.454795,0
-0.309203,-3.222526,-1.840106,-0.543441,-2.009386,-2.883908,1
-0.309203,-3.222526,-1.693978,-0.408742,-1.716076,-3.481947,1
-1.08521,-3.995344,-2.642465,-0.809956,-3.988984,-4.167001,0
-0.272978,-3.198878,-1.739375,-0.472203,-1.922674,-3.721916,1
-1.08521,-3.995344,-2.642465,-0.989252,-2.898111,-4.334492,0
-0.442941,-3.577936,-2.642465,-0.296112,-2.624923,-3.418813,0
-0.442941,-3.577936,-2.642465,-0.427621,-3.030915,-3.543752,0
-0.272978,-3.198878,-1.739375,-0.422356,-1.922674,-3.347457,1
-0.272978,-3.198878,-1.739375,-0.332834,-1.897519,-3.457731,1
-1.08521,-3.995344,-2.642465,-1.280737,-3.030915,-4.661851,0
-0.335821,-3.317323,-2.642465,-0.232531,-4.627089,-3.260307,0
-0.442941,-3.577936,-2.642465,-0.430277,-3.245488,-3.628762,0
-0.303177,-3.27183,-1.683497,-0.489677,-1.796259,-3.627453,1
-1.15719,-4.001494,-2.586587,-0.973803,-2.717481,-3.377575,0
-0.48886,-3.550559,-2.586587,-0.590952,-2.611581,-3.524791,0
-0.303177,-3.27183,-1.683497,-0.472644,-1.796259,-3.534421,1
-0.303177,-3.27183,-1.741489,-0.361278,-1.754165,-3.454591,1
-0.360408,-3.302287,-1.769799,-0.734084,-2.104253,-3.883215,1
-0.420808,-3.45914,-2.614897,-0.665507,-3.22329,-3.840717,0
-0.360408,-3.302287,-1.769799,-0.441711,-2.104253,-3.605103,1
-0.360408,-3.302287,-1.711807,-0.456535,-1.708126,-3.602969,1
-0.507284,-3.531605,-2.614897,-0.475018,-2.926275,-3.541531,0
-0.262334,-3.277,-2.525045,-0.533819,-2.176115,-3.761069,1
-0.262334,-3.277,-2.525045,-0.090476,-4.983785,-2.904966,0
-0.262334,-3.277,-2.525045,-0.320925,-2.176115,-3.539741,1
-0.262334,-3.277,-1.570802,-0.304937,-1.659359,-3.363649,1
-0.323901,-3.426825,-2.525045,-0.230579,-2.176115,-3.352342,0
-0.370194,-3.32935,-1.904896,-0.719259,-1.975806,-3.888605,1
-0.531383,-3.545963,-2.683047,-0.386382,-2.925228,-3.36724,0
-1.087568,-4.260268,-2.683047,-1.114845,-2.469296,-4.116794,0
-0.370194,-3.32935,-1.904896,-0.501203,-1.975806,-3.60295,1
-0.370194,-3.32935,-1.728805,-0.48165,-1.831535,-3.581947,1
-0.403452,-3.317296,-2.776701,-0.781066,-2.436336,-3.890405,1
-1.137404,-3.879861,-2.776701,-0.763864,-3.463976,-3.879502,0
-0.565057,-3.575848,-2.776701,-0.407485,-3.816159,-3.426993,0
-0.403452,-3.317296,-2.776701,-0.475671,-2.436336,-3.547314,1
-0.403452,-3.317296,-1.776701,-0.519023,-1.8931,-3.513581,1
-0.392231,-3.29758,-2.089022,-0.749073,-2.371626,-3.765629,1
-0.555259,-3.53431,-2.992111,-0.57381,-2.934274,-3.611872,0
-0.555259,-3.53431,-2.992111,-0.562359,-2.940335,-3.659032,0
-0.392231,-3.29758,-2.992111,-0.50075,-3.124185,-3.568297,0
-0.392231,-3.29758,-2.089022,-0.543405,-2.371626,-3.583056,1
-0.392231,-3.29758,-1.992111,-0.526729,-2.159426,-3.569335,1
-0.39261,-3.312744,-2.603144,-0.668646,-2.896402,-3.800035,1
-1.15856,-4.259888,-2.603144,-1.140746,-2.688436,-4.294885,0
-1.15856,-4.259888,-2.603144,-1.700054,-2.65205,-4.896945,0
-0.39261,-3.312744,-2.603144,-0.502774,-2.896402,-3.585191,1
-0.39261,-3.312744,-1.427053,-0.424167,-1.544232,-3.481972,1
-1.15856,-4.259888,-2.603144,-1.523963,-2.700354,-4.720854,0
-0.39261,-3.312744,-2.603144,-0.444782,-2.697258,-3.484065,0
-0.509345,-3.317045,-1.611458,-0.815578,-1.842058,-3.817818,1
-0.728033,-3.640351,-2.514548,-0.729218,-2.888399,-3.626487,0
-0.509345,-3.317045,-1.611458,-0.66945,-1.842058,-3.583735,1
-0.509345,-3.317045,-1.435367,-0.600734,-1.394338,-3.490459,1
-0.211939,-3.240957,-2.146128,-0.435729,-2.264482,-3.829018,1
-0.787705,-4.291614,-2.623249,-0.898973,-2.932594,-4.399415,0
-0.334402,-3.561618,-2.623249,-0.358431,-3.479684,-3.425278,0
-0.211939,-3.240957,-2.146128,-0.265314,-2.264482,-3.553349,1
-0.211939,-3.240957,-1.544068,-0.263414,-1.699605,-3.591754,1
-0.787705,-4.291614,-2.623249,-0.444272,-2.712416,-3.904565,0
-0.386218,-3.276784,-1.696793,-0.707788,-1.690948,-3.850932,1
-1.120678,-3.932744,-2.599883,-1.219672,-2.628987,-4.102403,0
-0.386218,-3.276784,-1.696793,-0.506461,-1.690948,-3.542801,1
-0.386218,-3.276784,-1.599883,-0.415192,-1.601774,-3.431575,1
-1.120678,-3.932744,-2.599883,-1.298853,-2.803935,-4.508943,0
-0.479242,-3.474699,-2.599883,-0.361837,-2.523966,-3.329966,0
-0.222303,-3.240311,-1.935507,-0.4555,-2.039941,-3.758385,1
-0.355339,-3.532065,-2.634477,-0.384057,-5.240305,-2.869853,0
-0.222303,-3.240311,-1.935507,-0.2579,-2.039941,-3.56209,1
-0.222303,-3.240311,-1.555296,-0.294033,-1.755215,-3.530846,1
-0.817743,-3.767149,-2.634477,-0.710198,-2.695823,-3.586021,0
-0.817743,-3.767149,-2.634477,-0.944281,-2.928786,-4.478544,0
-0.355339,-3.532065,-2.634477,-0.384057,-2.701229,-3.674719,0
-0.404789,-3.293018,-1.642217,-0.586266,-1.932593,-3.785124,1
-0.518227,-3.562154,-2.545307,-0.549672,-1.911846,-3.54338,0
-0.404789,-3.293018,-1.642217,-0.540986,-1.932593,-3.625945,1
-0.404789,-3.293018,-1.431364,-0.473425,-1.363083,-3.523118,1
-0.324886,-3.304966,-1.68842,-0.58121,-1.98784,-3.795735,1
-0.324886,-3.304966,-1.68842,-0.473576,-1.98784,-3.636457,1
-0.324886,-3.304966,-1.4843,-0.358006,-1.503198,-3.517271,1
-0.781956,-4.269259,-2.471292,-0.579197,-2.172427,-4.084957,0
-0.253398,-3.310174,-2.471292,-0.289448,-3.476093,-3.510012,0
-0.317609,-3.458624,-2.471292,-0.238296,-2.690505,-3.312172,0
-0.919681,-4.127822,-1.643453,-1.166331,-1.481636,-4.355538,0
-0.511547,-3.492711,-1.643453,-0.364699,-1.759766,-3.366533,0
-0.243132,-3.19321,-1.359625,-0.331596,-1.814663,-3.667377,1
-0.243132,-3.19321,-1.359625,-0.305267,-1.814663,-3.536724,1
-0.243132,-3.19321,-1.614897,-0.276441,-2.126277,-3.586282,1
-0.382269,-3.303631,-1.385351,-0.549208,-1.579964,-3.718424,1
-0.382269,-3.303631,-1.385351,-0.452298,-1.579964,-3.537534,1
-0.416412,-3.393983,-1.354589,-0.689477,-1.46349,-3.852817,1
-0.416412,-3.393983,-1.354589,-0.576437,-1.46349,-3.609779,1
-0.55119,-3.623215,-2.257679,-0.752529,-2.225823,-3.905205,0
-0.55119,-3.623215,-2.257679,-0.576437,-2.200702,-3.696929,0
-0.514269,-3.404703,-1.431364,-0.908485,-1.465743,-3.885889,1
-0.717364,-3.689301,-2.209515,-0.732394,-2.652503,-3.677613,0
-1.215483,-4.255987,-2.209515,-1.306425,-2.652503,-4.34662,0
-1.595254,-4.675221,-2.209515,-2.209515,-2.422341,-5.300863,0
-1.215483,-4.255987,-2.209515,-1.306425,-2.052154,-4.397773,0
-0.514269,-3.404703,-1.431364,-0.762357,-1.465743,-3.838465,1
-0.603639,-3.482416,-2.209515,-0.537417,-2.050199,-3.387049,0
-0.679659,-4.209149,-2.307496,-0.529345,-2.562536,-4.056754,0
-0.308937,-3.612045,-2.307496,-0.320724,-2.661984,-3.700206,0
-0.308937,-3.612045,-2.307496,-0.353254,-2.238783,-3.729395,0
-0.393238,-3.396493,-1.36709,-0.655885,-1.733705,-3.848812,1
-1.060696,-4.264,-2.212188,-0.780824,-3.448857,-3.963766,0
-0.393238,-3.396493,-1.36709,-0.578719,-1.733705,-3.741918,1
-0.400017,-3.386463,-1.442704,-0.60656,-1.53079,-3.74388,1
-0.57647,-3.654556,-2.287802,-0.7196,-4.47334,-3.782339,0
-0.400017,-3.386463,-1.442704,-0.49541,-1.53079,-3.57025,1
-1.077228,-4.260487,-2.287802,-1.246409,-4.815762,-4.435551,0
-0.487142,-3.552966,-1.81068,-0.442704,-1.932442,-3.506132,0
-0.538671,-3.327851,-2.198107,-0.897077,-2.436529,-3.852605,1
-1.250337,-3.870096,-2.897077,-0.72976,-3.445432,-3.680118,0
-0.706462,-3.587995,-2.897077,-0.750949,-3.890067,-3.668219,0
-0.706462,-3.587995,-2.897077,-0.732724,-3.852605,-3.604977,0
-0.538671,-3.327851,-2.198107,-0.875888,-2.436529,-3.831587,1
-0.538671,-3.327851,-1.641804,-0.641804,-1.877344,-3.499228,1
-0.555713,-3.543611,-2.80618,-0.550907,-2.894199,-3.54709,0
-0.419102,-3.311986,-2.80618,-0.749275,-2.768698,-3.664376,1
-1.160417,-4.150111,-2.80618,-0.887102,-2.933248,-4.079729,0
-0.55275,-3.516989,-2.50515,-0.339312,-2.641654,-3.157924,0
-0.555713,-3.543611,-2.80618,-0.481898,-3.219391,-3.528667,0
-0.555713,-3.543611,-2.50515,-0.49021,-2.36706,-3.510994,0
-0.419102,-3.311986,-2.80618,-0.69897,-2.768698,-3.76414,1
-0.419102,-3.311986,-1.550907,-0.513924,-1.555347,-3.575505,1
-0.480817,-3.432952,-2.80618,-0.355931,-2.768698,-3.325241,0
-0.332066,-3.312594,-2.851258,-0.717719,-2.685346,-3.89087,1
-0.479755,-3.622132,-2.851258,-0.579417,-2.70956,-3.771594,0
-1.041472,-3.75251,-2.851258,-0.882775,-2.594591,-3.906914,0
-0.332066,-3.312594,-2.851258,-0.512802,-2.685346,-3.692127,1
-0.332066,-3.312594,-1.70513,-0.439639,-1.493281,-3.45959,1
-0.300858,-3.321545,-2.78746,-0.597129,-2.444204,-3.847091,1
-0.964008,-3.877844,-2.78746,-0.569977,-3.540822,-3.857762,0
-0.443722,-3.588822,-2.78746,-0.479964,-3.94085,-3.64774,0
-0.300858,-3.321545,-2.78746,-0.482109,-2.444204,-3.724795,1
-0.300858,-3.321545,-1.78746,-0.38434,-1.887633,-3.52749,1
-0.213897,-3.674293,-2.193125,-0.140046,-2.180845,-3.526874,0
-0.134375,-3.345798,-1.716003,-0.167819,-1.771337,-3.673773,1
-0.548383,-3.975661,-2.193125,-0.60206,-2.269323,-4.339787,0
-0.548383,-3.975661,-2.193125,-0.521027,-2.194614,-4.284938,0
-0.598707,-3.331569,-2.844477,-0.975245,-2.502191,-3.859521,1
-0.762063,-3.562873,-2.844477,-0.999379,-2.844427,-3.886844,0
-0.754965,-3.503742,-2.844477,-0.857705,-4.773335,-3.662745,0
-0.598707,-3.331569,-2.844477,-0.862206,-2.502191,-3.624116,1
-0.598707,-3.331569,-2.145507,-0.761692,-1.952674,-3.624116,1
-1.422201,-3.74554,-2.844477,-1.589205,-5.074365,-4.494581,0
-1.422201,-3.74554,-2.543447,-1.730534,-2.946613,-4.659392,0
-0.682324,-3.451768,-2.844477,-0.539126,-2.502191,-3.307952,0
-0.449592,-3.333907,-2.371068,-0.818805,-2.633333,-3.880179,1
-1.187804,-3.784297,-2.848189,-0.929111,-5.004031,-4.049788,0
-0.589183,-3.480783,-2.848189,-0.717855,-3.335645,-3.783923,0
-0.589183,-3.480783,-2.848189,-0.595336,-2.952492,-3.540138,0
-0.589183,-3.480783,-2.848189,-0.680872,-2.731261,-3.540138,0
-0.600854,-3.556318,-2.848189,-0.727615,-3.845668,-3.794516,0
-0.589183,-3.480783,-2.848189,-0.558155,-3.317394,-3.558426,0
-0.589183,-3.480783,-2.547159,-0.482701,-2.495636,-3.44055,0
-0.589183,-3.480783,-2.848189,-0.482701,-3.004465,-3.471276,0
-0.449592,-3.333907,-2.848189,-0.40728,-4.134799,-3.356648,0
-0.508955,-3.404949,-2.848189,-0.692853,-2.711332,-3.716229,0
-0.449592,-3.333907,-2.371068,-0.655065,-2.633333,-3.718473,1
-0.449592,-3.333907,-1.702061,-0.597769,-1.545015,-3.575896,1
-0.600854,-3.556318,-2.848189,-0.534322,-3.734518,-3.514072,0
-0.609374,-3.353842,-1.4843,-0.764141,-1.414154,-4.015531,1
-0.609374,-3.353842,-1.4843,-0.654996,-1.414154,-3.684538,1
-0.579311,-3.134551,-1.342423,-0.865301,-0.896445,-3.719763,1
-0.579311,-3.134551,-1.342423,-0.661181,-0.896445,-3.70128,1
-0.418676,-3.384822,-2.426511,-0.409478,-5.19333,-3.273598,0
-0.3958,-3.345978,-2.426511,-0.354629,-2.461942,-3.445141,0
-0.420552,-3.52691,-2.426511,-0.377293,-2.168793,-3.432719,0
-0.509413,-3.364305,-1.48192,-0.636822,-4.223772,-3.922742,1
-0.509413,-3.364305,-1.48192,-0.544068,-4.223772,-3.776614,1
-0.752931,-3.548242,-2.264818,-0.773456,-1.725796,-3.566928,0
-0.166572,-3.259539,-1.80956,-0.204794,-4.431964,-3.738178,1
-0.166572,-3.259539,-1.80956,-0.204794,-4.431964,-3.720658,1
-0.297709,-3.298449,-3.07664,-0.494577,-6.005473,-3.771462,1
-0.348164,-3.468653,-3.07664,-0.325361,-3.524891,-3.456961,0
-0.297709,-3.298449,-3.07664,-0.437154,-6.005473,-3.782757,1
-0.330707,-3.466257,-3.07664,-0.353185,-2.761642,-3.311043,0
-0.250149,-3.293078,-2.455226,-0.393585,-2.341132,-3.823629,1
-0.285626,-3.443064,-3.057286,-0.2384,-2.87657,-3.320897,0
-0.285626,-3.443064,-3.057286,-0.268411,-2.810602,-2.891479,0
-0.250149,-3.293078,-2.455226,-0.329744,-2.341132,-3.65005,1
-0.250149,-3.293078,-3.057286,-0.265595,-2.986694,-3.472952,1
-0.285626,-3.443064,-3.057286,-0.309874,-5.91655,-3.615831,0
-0.611352,-4.087552,-3.057286,-0.69745,-6.062678,-4.29925,0
-0.296682,-3.484273,-3.057286,-0.282039,-3.350197,-3.562167,0
-0.297253,-3.271816,-2.736397,-0.456502,-2.438823,-3.824314,1
-0.685673,-4.104576,-3.037426,-0.357091,-3.011252,-3.629848,0
-0.685673,-4.104576,-3.037426,-0.754125,-2.733847,-4.27446,0
-0.297253,-3.271816,-2.736397,-0.370909,-2.438823,-3.679297,1
-0.297253,-3.271816,-2.736397,-0.307452,-2.721107,-3.478434,1
-0.685673,-4.104576,-3.037426,-0.681401,-2.711967,-4.168163,0
-0.336175,-3.458261,-3.037426,-0.336723,-2.961018,-3.585831,0
-0.348579,-3.257308,-2.440909,-0.51663,-3.057732,-3.738991,1
-0.380928,-3.472658,-3.139879,-0.332344,-5.898644,-3.38925,0
-0.380928,-3.472658,-3.139879,-0.366824,-6.044772,-3.422144,0
-0.348579,-3.257308,-2.440909,-0.447914,-3.057732,-3.724626,1
-0.348579,-3.257308,-3.139879,-0.366093,-5.898644,-3.508214,1
-0.714052,-4.016655,-3.139879,-0.927691,-2.672413,-4.469585,0
-0.398265,-3.458516,-3.139879,-0.364633,-3.021026,-3.523111,0
-0.380928,-3.472658,-3.139879,-0.417245,-5.840652,-3.612766,0
-0.380928,-3.472658,-3.139879,-0.380967,-6.044772,-3.562471,0
-0.560703,-3.263395,-3.13258,-0.931183,-5.498764,-3.836006,1
-0.640707,-3.450607,-3.13258,-0.665712,-3.266276,-3.526561,0
-0.640707,-3.450607,-3.13258,-0.551655,-3.672689,-3.391554,0
-0.560703,-3.263395,-3.13258,-0.818713,-5.498764,-3.771223,1
-0.560703,-3.263395,-2.83155,-0.591001,-2.64458,-3.4751,1
-1.130037,-4.124515,-3.13258,-1.479367,-5.419583,-4.544522,0
-0.332031,-3.250081,-2.270679,-0.321289,-2.093432,-3.391088,1
-0.523844,-3.328317,-1.462398,-0.559308,-1.085719,-3.305868,1
-0.379007,-3.183815,-1.845098,-0.714764,-2.409894,-3.71683,1
-0.658218,-3.504304,-2.845098,-0.832261,-3.463573,-3.877681,0
-0.55834,-3.479342,-2.845098,-0.612102,-3.881441,-3.533899,0
-0.379007,-3.183815,-1.845098,-0.527035,-2.409894,-3.494981,1
-0.379007,-3.183815,-1.69897,-0.344039,-1.868861,-3.208942,1
-1.179481,-3.230036,-1.39794,-1.09691,-3.210746,-3.064618,1
-0.683676,-3.190464,-1.481238,-0.627366,-0.854906,-2.818624,1
-0.575981,-3.503684,-1.921686,-0.589248,-3.883896,-3.6595,0
-0.54632,-3.2546,-1.444565,-0.53252,-3.018739,-3.351853,1
-0.99302,-3.485323,-2.267172,-0.988418,-5.391598,-3.471649,0
-1.014471,-3.917905,-2.267172,-1.036723,-4.516537,-4.116671,0
-1.00628,-3.647864,-2.267172,-0.988418,-5.324651,-3.494888,0
-0.965816,-3.199507,-1.422074,-0.988418,-3.990772,-3.291227,1
-1.00628,-3.647864,-2.267172,-0.924749,-4.9393,-3.206906,0
-1.008772,-3.498316,-2.267172,-0.988418,-4.506991,-3.509833,0
-1.003945,-3.59711,-2.267172,-0.924749,-4.808021,-3.273223,0
